"original_path","archive_path","action","sha256","sources","rationale"
"artifacts/autonomous_session.json","artifacts/archive/artifacts/autonomous_session.json","archived","19658A8DD8E6B135616B07311DBF7D2E43E9BB3AC985F49FBBA8EAD6B01D07AB","generated","Generated evidence or historical result; move only with manifest and compatibility path if referenced."
"artifacts/discovery_report.md","artifacts/archive/artifacts/discovery_report.md","archived","2A6FB3F844F47780F6EB2A4F6C7FB9E461298309142FC0F12D0A94EEFC83223C","generated","Generated evidence or historical result; move only with manifest and compatibility path if referenced."
"artifacts/experiments.db","artifacts/archive/artifacts/experiments.db","archived","B856911C8EC70D000A452E09C26615D00E0AE1E4F94D2251BD0223452BDA09EE","generated","Generated evidence or historical result; move only with manifest and compatibility path if referenced."
"artifacts/qg_discovery_report.md","artifacts/archive/artifacts/qg_discovery_report.md","archived","A4124DBB4778DBD77E22530710EA772660125F63BCCFF882BABD3435A4891C66","generated","Generated evidence or historical result; move only with manifest and compatibility path if referenced."
"artifacts/qg_geometric_audit.json","artifacts/archive/artifacts/qg_geometric_audit.json","archived","14B8EB82F85D4CC9220E26D288DECAACBB7CED7B562A8155DF808A31E8825DD0","generated","Generated evidence or historical result; move only with manifest and compatibility path if referenced."
"artifacts/robustness_report.md","artifacts/archive/artifacts/robustness_report.md","archived","41122CCA2A1DA1BB41BD536FC58FFD785E8F2570C08929C273388F9A80FE273C","generated","Generated evidence or historical result; move only with manifest and compatibility path if referenced."
"artifacts/robustness_results.csv","artifacts/archive/artifacts/robustness_results.csv","archived","E96DFCCAF64BB25BFB3873A1663C0F3DAD05142A6CB279BB247A12ED3DDBF682","generated","Generated evidence or historical result; move only with manifest and compatibility path if referenced."
"artifacts/sota_report.md","artifacts/archive/artifacts/sota_report.md","archived","A6E72F48EDD5EFCC05EBFB900A5CE32ACE14D1FFAF4EE4F89EB5E221BA1AC8B7","generated","Generated evidence or historical result; move only with manifest and compatibility path if referenced."
"artifacts/sota_results.csv","artifacts/archive/artifacts/sota_results.csv","archived","ECBF32A8657063A4BBD7049F75F3448BC6E6A0153B2FA741DB560E8B6E4EB954","duplicate|generated","Generated evidence or historical result; move only with manifest and compatibility path if referenced."
"artifacts/sota_summary.csv","artifacts/archive/artifacts/sota_summary.csv","archived","93179F6EFBC6583AEB2B5B85FD4E2D6CAB4EBCB20B01DB93D534BDA383B61907","generated","Generated evidence or historical result; move only with manifest and compatibility path if referenced."
"dashboard/public/artifacts/baselines/baseline_index.json","artifacts/archive/dashboard/public/artifacts/baselines/baseline_index.json","archived","65B07E3BAF801B0D55ECC723DFFACEE3E728E7309109411717D03A7DA3A7EEC0","duplicate|generated","Generated evidence or historical result; move only with manifest and compatibility path if referenced."
"dashboard/public/artifacts/baselines/massive_sweep_2026-05-20T23-02-23Z.json","artifacts/archive/dashboard/public/artifacts/baselines/massive_sweep_2026-05-20T23-02-23Z.json","archived","1F1238B83D08FE45203BCBD4BD2B533298437B437760CFA89480CF1171F97A81","duplicate|generated","Generated evidence or historical result; move only with manifest and compatibility path if referenced."
"outputs/20260601_181428_DVRFa6/checkpoint.pkl","artifacts/archive/outputs/20260601_181428_DVRFa6/checkpoint.pkl","archived","2CC48355A21D29D1DC3E0079A65A50A51C406692527D88FF2209B898AB7DFE79","generated","Generated evidence or historical result; move only with manifest and compatibility path if referenced."
"outputs/20260601_181428_DVRFa6/hall_of_fame.csv","artifacts/archive/outputs/20260601_181428_DVRFa6/hall_of_fame.csv","archived","50675B50B4AB41AAD2C287C1DC774B8A762AF44B3830D07F2DCC81D8668D34C5","duplicate|generated","Generated evidence or historical result; move only with manifest and compatibility path if referenced."
"outputs/20260601_181428_DVRFa6/hall_of_fame.csv.bak","artifacts/archive/outputs/20260601_181428_DVRFa6/hall_of_fame.csv.bak","archived","50675B50B4AB41AAD2C287C1DC774B8A762AF44B3830D07F2DCC81D8668D34C5","duplicate|generated|stale","Generated evidence or historical result; move only with manifest and compatibility path if referenced."
